Delegaciones,2000,2001,2002,2003,2004*,2005*,2006*,2007,2008 ***,2009***,2010 ***,2012***,2013***,2014***,2015***
     Aguascalientes,25320,28834,27882,32015,26814,20295,23527,20007,45895,41891,51057,37995,30486,61463,68329
     Baja California,58209,68158,61578,86874,61185,44790,79414,46032,41827,43577,75582,98527,135553,122774,163262
     Baja California Sur,13058,13693,13808,13818,21599,11740,14771,17681,33851,31256,48934,29816,40434,22678,20971
     Campeche,16664,18216,17082,21880,15483,13083,18063,14282,23141,25482,43830,41905,33761,26164,44840
     Coahuila ,48503,54526,65641,94116,98458,69282,93814,68608,101712,98791,109499,105037,109234,96978,107708
     Colima,16031,18284,14593,15080,19315,15169,14884,10033,12768,12981,16541,18813,13456,9778,10314
     Chiapas,25778,26882,30573,35978,21595,14260,28406,24410,27736,23761,25928,27411,25560,25007,21687
     Chihuahua,68635,77868,91016,108816,76503,64129,77423,69083,71318,64266,79451,124265,111919,98221,79967
     D.F. Norte,106075,114936,135409,149825,150415,78814,84283,89317,119726,115125,166448,106378,96571,88218,93262
     D.F. Sur,164158,161025,169112,191754,116077,105299,102714,145969,167744,134433,150599,280544,386774,383948,308912
     Durango,32302,34259,38001,40439,28866,27556,29029,32513,31539,32636,46578,39715,37090,62284,65730
     Guanajuato,84263,92171,95340,94709,118575,94686,123095,107639,119126,136059,184421,239727,261865,133853,109054
     Guerrero,33032,34084,59282,47917,28736,31603,41308,33530,25060,22500,30288,24565,61436,94464,86443
     Hidalgo,25966,24402,25232,48817,41797,17182,30539,27049,31392,30341,41640,45713,40230,36787,38515
     Jalisco,140404,138908,157986,177347,112126,128776,151618,139782,214969,173031,190311,169999,148505,148559,139873
     México Oriente,122873,124598,142127,180918,173683,130255,156437,170100,211152,314257,448525,459115,365219,316866,286560
     México Poniente,66570,80372,91032,113255,52601,53426,76368,81925,92181,75662,98343,143200,154833,182215,136093
     Michoacán,56391,54988,50696,67111,59359,40099,54481,41381,43540,35508,53330,116713,110400,92669,85582
     Morelos,34927,31278,32291,43884,33171,14932,24013,25851,38675,37884,39546,38331,38564,36652,30543
     Nayarit,19062,21166,20101,21419,33566,26759,19947,26903,24540,18393,22472,25285,33215,34452,25923
     Nuevo León,134100,138695,143231,171671,124320,105347,139065,99411,248853,209630,278654,280248,281753,214489,197846
     Oaxaca,26125,27495,26714,27943,19829,12299,19386,15082,25735,22808,22747,21183,21267,22679,23091
     Puebla,64325,67088,67151,74595,95166,44024,54596,69936,117375,86574,104352,94862,84379,94490,113589
     Querétaro,27088,28051,28206,59790,52034,23335,31950,42463,51711,44236,52107,59232,93655,80238,63409
     Quintana Roo,24704,25479,26609,28332,24438,14920,28811,23796,28403,35848,35529,35020,33848,34269,35107
     San Luis Potosí,39946,45572,70612,47362,50640,41517,40836,69158,70117,69065,92264,71078,78085,91372,84470
     Sinaloa,72582,73864,78000,76265,65247,42084,55417,39895,43195,50153,59207,69072,61025,55489,61370
     Sonora,51722,50845,57213,69601,42427,36764,61080,42441,42278,40928,45530,50046,50862,53307,64141
     Tabasco,20011,21138,23224,28896,14318,18827,21349,28322,41407,39749,45337,43185,44189,41558,36594
     Tamaulipas,79118,83682,113700,98483,99299,62364,70949,52355,67908,57055,78478,69158,70853,67791,116119
     Tlaxcala,17838,18084,18915,18230,14420,9011,12247,15154,16700,16994,16541,24603,23765,21608,18803
     Veracruz Norte,76331,70798,69028,91025,85166,54957,59899,86547,132985,118729,150316,144561,149779,134257,138117
     Veracruz Sur,54292,52245,54471,77594,58860,40647,46263,66369,81150,68500,70168,83147,73103,56052,50410
     Yucatán,34512,33238,33901,43911,37803,32074,49495,34497,37939,35199,39346,40202,36088,31850,26821
     Zacatecas,14688,18219,18746,19299,32522,17320,17454,16681,14878,13895,16925,17394,16738,17255,17451
